Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16277245,The Drunken Botanist: The Plants That Create the World's Great Drinks,Amy  Stewart,"Stewart, Amy",,"=""1616200464""","=""9781616200466""",0,Algonquin Books,Hardcover,362,2013,2013,,2022/12/10,to-read,to-read (#92),to-read,,,,0,0
37198,"Onions in the Stew (Betty MacDonald Memoirs, #4)",Betty MacDonald,"MacDonald, Betty",,"=""1888173300""","=""9781888173307""",0,Akadine Pr,Paperback,256,2000,1955,,2022/10/03,to-read,to-read (#91),to-read,,,,0,0
23770,"The Egg and I (Betty MacDonald Memoirs, #1)",Betty MacDonald,"MacDonald, Betty",,"=""0704102471""","=""9780704102477""",4.0,George Mann Books,Paperback,288,1992,1945,,2022/10/03,,,read,,,,1,0
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,"=""0307353133""","=""9780307353139""",0,Harmony,ebook,308,2007,2007,,2021/07/10,,,read,,,,1,0
36546651,"Codename Villanelle (Killing Eve, #1)",Luke Jennings,"Jennings, Luke",,"=""0316512524""","=""9780316512527""",0,Mulholland Books,Hardcover,220,2018,2014,,2021/08/30,,,read,,,,1,0
42771901,How to Do Nothing: Resisting the Attention Economy,Jenny Odell,"Odell, Jenny",,"=""1612197493""","=""9781612197494""",0,Melville House,Hardcover,232,2019,2019,,2022/02/12,,,read,,,,1,0
28789726,The Only Street in Paris: Life on the Rue des Martyrs,Elaine Sciolino,"Sciolino, Elaine",,"=""0393353400""","=""9780393353402""",0,W. W. Norton & Company,Paperback,320,2016,2015,,2022/06/01,,,read,,,,1,0
3265305,"Bruno, Chief of Police (Bruno, Chief of Police, #1)",Martin  Walker,"Walker, Martin",,"=""1847245072""","=""9781847245076""",4.0,"Quercus, London, UK",Hardcover,262,2008,2008,,2022/08/30,,,read,,,,1,0
58214333,The Swimmers,Julie Otsuka,"Otsuka, Julie",,"=""0593321332""","=""9780593321331""",0,Knopf,Hardcover,176,2022,2022,,2022/05/03,,,read,,,,1,0
93161,Protea Book: A Guide to Cultivated Proteaceae,Lewis Matthews,"Matthews, Lewis",,"=""0881925535""","=""9780881925531""",0,Timber Pr,Paperback,184,2002,2002,,2022/07/10,to-read,to-read (#90),to-read,,,,0,0
56769577,Fuzz: When Nature Breaks the Law,Mary Roach,"Roach, Mary",,"=""1324001933""","=""9781324001935""",0,W. W. Norton & Company,Hardcover,308,2021,2021,,2022/04/21,to-read,to-read (#89),to-read,,,,0,0
41830657,Islands of Abandonment: Life in the Post-Human Landscape,Cal Flyn,"Flyn, Cal",,"=""0008329761""","=""9780008329761""",0,William Collins,Hardcover,376,2021,2021,,2022/02/12,to-read,to-read (#88),to-read,,,,0,0
52460993,"Pacific Coasting: A Guide to the Ultimate Road Trip, from Southern California to the Pacific Northwest",Danielle Kroll,"Kroll, Danielle",,"=""1579658717""","=""9781579658717""",0,Artisan,Hardcover,224,2020,2021,,2022/02/12,to-read,to-read (#87),to-read,,,,0,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",5.0,Tinder Press,Hardcover,372,2020,2020,,2021/04/04,,,read,,,,1,0
51542211,Owls of the Eastern Ice: A Quest to Find and Save the World's Largest Owl,Jonathan C. Slaght,"Slaght, Jonathan C.",,"=""0374228485""","=""9780374228484""",0,"Farrar, Straus and Giroux",Hardcover,368,2020,2020,,2021/04/12,,,read,,,,1,0
