Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Birds of Heaven: Travels with Cranes,Peter Matthiessen,Robert Bateman (Illustrator),9780865476578,paperback,to-read,2021/04/12,"","",0,"",,,,,,,,,"",,"",No
Post Captain,Patrick O'Brian,"",9780393307061,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Mother Tongue: English and How It Got That Way,Bill Bryson,"",9780380715435,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
League of Dragons,Naomi Novik,"",9780345522924,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Neither Here Nor There: Travels in Europe,Bill Bryson,"",9780380713806,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
"Politics Is for Power: How to Move Beyond Political Hobbyism, Take Action, and Make Real Change",Eitan Hersh,"",9781982116781,hardcover,to-read,2023/06/16,"","",0,"",,,,,,,,,"",,"",No
Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,"",9780316478526,hardcover,read,2020/07/05,"","",1,"",,,,,,,1.0,,"",,"",No
Sea Room: An Island Life in the Hebrides,Adam Nicolson,"",9780865476363,hardcover,read,2019/01/01,"","",1,"",,,,,,,4.0,,"",,"",No
Strangers in Paradise: How Families Adapt to Wealth Across Generations,James Grubman,"",9780615894355,paperback,to-read,2025/12/31,"","",0,"",,,,,,,,,"",,"",No
Captains Courageous,Rudyard Kipling,"",9780543895882,paperback,read,2018/12/22,"","",1,"",,,,,,,5.0,,"",,"",No
"One Summer: America, 1927",Bill Bryson,"",9780767919401,hardcover,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
